plot ID,dry weight 1 shoot plus bag
129.52.10,73.11
111.52.10,73.48
112.52.6,68.47
73.54.16,77.17
59.40.12,76.68
64.54.13,76.99
40.55.13,72.77
20.51.7,82.72
116.52.7,68.6
129.52.15,77.74
28.55.16,78
64.54.8,76.07
37.55.3,72.11
109.52.16,82.31
116.52.12,70.68
59.40.5,79.35
57.40.16,77.1
64.54.4,76.41
115.52.10,69.27
35.55.10,71.73
52.40.6,74.9
53.40.1,77.59
41.55.9,73.68
40.55.11,71.72
55.40.9,77.64
111.52.1,78.59
74.54.3,75.85
58.40.13,71.65
116.52.5,74.24
112.52.7,76.04
52.40.13,76.63
37.55.15,77.17
55.40.3,83.48
41.55.1,76.17
58.40.15,79.16
76.54.15,78.37
129.52.13,70.33
33.51.5,75.9
128.52.2,74.39
37.55.10,75.86
110.52.14,75.39
41.55.5,70.07
27.34.4,79.84
27.55.12,75.79
59.40.3,74.21
41.55.12,74.9
55.40.13,71.74
111.52.3,74.53
131.52.6,78.55
75.54.9,76.69
64.54.14,76.24
132.52.8,77.69
109.52.1,77.05
64.54.16,76.68
109.52.9,76.13
116.52.4,76.76
64.54.7,80.68
130.52.16,73.53
27.55.4,74.06
51.40.1,69.4
131.52.2,76.98
25.34.12,78.23
80.54.4,75.25
58.40.6,76.70
109.52.15,77.88
36.55.1,71.73
36.55.13,74.19
36.55.9,71.48
34.55.15,74.15
80.54.1,77.32
36.55.7,74.09
27.55.10,75.63
34.55.16,72.59
64.54.6,76.58
131.52.7,74.22
41.55.10,71.15
51.40.2,74.09
37.55.12,74.06
58.40.4,75.97
59.40.2,75.51
131.52.4,72.88
109.52.12,73.15
73.54.12,89.79
40.55.12,71.88
51.40.4,78.35
75.54.13,78.78
55.40.10,81.82
116.52.9,77.73
55.40.6,75.28
129.52.14,73.62
119.48.1,94.5
35.55.8,69.96
58.40.8,78.81
41.55.11,73.41
34.34.14,80.41
52.40.14,82.81
28.55.12,69.06
36.55.15,72.64
58.40.7,73.22
51.40.5,72.88
58.40.14,77.56
41.55.3,70.64
115.52.15,74.98
80.54.16,76.28
80.54.5,74.4
111.52.5,77.03
54.40.1,81.71
115.52.14,75.15
38.55.5,76.67
116.52.1,81.95
36.55.8,69.69
112.52.16,75.79
52.40.12,80.16
41.55.6,73.97
41.55.14,72.25
38.55.8,73.66
35.55.1,75.63
58.40.5,79.31
130.52.11,75.2
55.40.7,80.17
37.55.8,71.36
115.52.11,73.69
76.54.1,79.69
79.54.2,81.48
35.55.2,72.92
34.55.8,72.13
66.54.16,75.23
38.55.4,75.38
35.55.4,73.01
109.52.13,73.19
79.54.3,79.13
27.55.2,78.32
80.54.12,76.35
64.54.3,78.7
27.55.1,71.9
