Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
469689,DSC_0101.JPG,56_40_13,0.020618557,190,194,0.133684211,0.130927835,514,34218,10.5559,3937.73,0.833897,0.314679,0.314144,338,9,20,1.30434,0.933418
469645,DSC_0037.JPG,51_40_12,0.020408163,192,196,0.132291667,0.129591837,364,32687,12.6253,4007.27,1.46458,0.311434,0.304728,229,18,24,1.36879,1.0033
469654,DSC_0048.JPG,57_40_9,0.020408163,192,196,0.132291667,0.129591837,308,26966,11.1006,3925.53,0.728395,0.311434,0.328242,159,3,27,1.31756,1.12638
469658,DSC_0052.JPG,57_40_1,0.015384615,192,195,0.132291667,0.13025641,346,21324,11.4146,2758.01,0.951493,0.312224,0.311278,296,14,23,1.40967,0.910757
470150,DSC_0414.JPG,54_40_8,0.015384615,192,195,0.132291667,0.13025641,291,21203,11.7836,2478.61,0.524786,0.312224,0.314183,137,10,19,1.38592,0.621767
469674,DSC_0078.JPG,25_55_6,0.010309278,192,194,0.132291667,0.130927835,408,31565,11.5545,3874.32,0.557184,0.313022,0.327373,267,15,7,1.43703,0.882311
470151,DSC_0415.JPG,56_40_15,0.020304569,193,197,0.131606218,0.12893401,288,17299,10.4489,2247.94,2.11192,0.309836,0.309888,174,8,20,1.1274,0.74814
469648,DSC_0040.JPG,54_40_16,0.015306122,193,196,0.131606218,0.129591837,240,22536,10,2837.3,0.781558,0.310619,0.314292,103,5,15,1.36129,0.81456
469657,DSC_0051.JPG,57_40_10,0.015306122,193,196,0.131606218,0.129591837,242,17965,10.0358,2089.42,0.959347,0.310619,0.309207,163,8,20,1.10652,0.950171
470129,DSC_0392.JPG,54_40_4,0.015306122,193,196,0.131606218,0.129591837,377,28050,11.9838,3171.12,1.74591,0.310619,0.312028,216,13,18,1.45257,0.792039
470157,DSC_0422.JPG,24_55_14,0.015306122,193,196,0.131606218,0.129591837,238,13174,9.42414,1559.24,1.8058,0.310619,0.303838,121,20,6,1.02084,0.636561
470161,DSC_0427.JPG,24_55_11,0.015306122,193,196,0.131606218,0.129591837,452,21887,10.4242,2158.03,0.371683,0.310619,0.305855,255,11,23,1.09383,0.631735
469644,DSC_0036.JPG,24_55_9,0.01025641,193,195,0.131606218,0.13025641,209,17439,11.4146,2319.92,0.813237,0.311409,0.321066,164,15,30,1.29315,0.805777
469650,DSC_0042.JPG,38_55_10,0.01025641,193,195,0.131606218,0.13025641,228,13579,9.49969,1471.17,0.701035,0.311409,0.317584,140,9,29,0.977985,0.660517
469656,DSC_0050.JPG,54_40_7,0.01025641,193,195,0.131606218,0.13025641,470,23331,10.5457,1922.49,1.33126,0.311409,0.304421,406,9,28,1.18144,0.643257
469664,DSC_0066.JPG,57_40_8,0.01025641,193,195,0.131606218,0.13025641,379,28467,11.3137,3552.49,1.24824,0.311409,0.313615,246,11,24,1.47372,0.625946
469682,DSC_0092.JPG,55_40_16,0.01025641,193,195,0.131606218,0.13025641,445,41406,11.4891,5311.26,0.704579,0.311409,0.302401,196,3,22,1.41864,0.641972
469683,DSC_0093.JPG,26_55_4,0.01025641,193,195,0.131606218,0.13025641,546,46257,10.198,4361.31,1.9697,0.311409,0.304873,463,24,25,1.07092,0.830877
469684,DSC_0094.JPG,56_40_2,0.01025641,193,195,0.131606218,0.13025641,548,47753,12.6531,5630.37,0.765717,0.311409,0.307059,282,10,20,1.5344,0.770995
469685,DSC_0095.JPG,25_55_11,0.01025641,193,195,0.131606218,0.13025641,311,25335,10.1905,2779.63,0.988971,0.311409,0.304547,241,14,33,1.21953,0.747267
469686,DSC_0096.JPG,56_40_10,0.01025641,193,195,0.131606218,0.13025641,348,24364,11.5075,2799.96,0.497556,0.311409,0.310115,255,9,22,1.3841,0.643973
469693,DSC_0107.JPG,23_55_16,0.01025641,193,195,0.131606218,0.13025641,450,27972,10.9545,3290.36,0.976281,0.311409,0.31196,263,9,19,1.24772,0.621337
469688,DSC_0099.JPG,56_40_1,0.005154639,193,194,0.131606218,0.130927835,457,32265,11.0028,4322.15,1.07537,0.312207,0.315519,319,8,13,1.35371,0.877623
470154,DSC_0418.JPG,59_40_15,0.02020202,194,198,0.130927835,0.128282828,293,19516,10.3923,2180.97,1.31538,0.308255,0.30249,187,8,28,1.3487,0.739766
470160,DSC_0426.JPG,50_40_10,0.02020202,194,198,0.130927835,0.128282828,323,26512,10.4242,3036.91,1.44391,0.308255,0.309708,215,24,12,1.08292,0.808611
470118,DSC_0380.JPG,54_40_5,0.015228426,194,197,0.130927835,0.12893401,407,41309,12.7833,4871.72,0.879356,0.30903,0.314954,215,8,24,1.46042,0.730223
470120,DSC_0382.JPG,23_55_13,0.015228426,194,197,0.130927835,0.12893401,239,12949,10.4907,1822.88,1.25561,0.30903,0.302884,101,6,24,1.18472,0.872052
470125,DSC_0387.JPG,59_40_10,0.015228426,194,197,0.130927835,0.12893401,452,27582,10.198,3427.49,0.467517,0.30903,0.309384,251,9,21,1.37224,0.797694
470127,DSC_0390.JPG,59_40_11,0.015228426,194,197,0.130927835,0.12893401,361,26381,10.3923,3186.75,1.17507,0.30903,0.300451,223,8,20,1.3709,0.728032
470135,DSC_0398.JPF,56_40_12,0.015228426,194,197,0.130927835,0.12893401,389,36190,11.1384,4089.5,0.660165,0.30903,0.304903,202,12,32,1.34868,0.746022
