"","Experiment.Tag","Image.ID","Image.name","circle.ratio","x.pixel","y.pixel","xScale","yScale","computation.time","Skeleton.Vertices","DIA_STM","AREA","AVG_DENSITY","TD_MED","TD_AVG","RTP_COUNT","ADVT_COUNT","BASAL_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"1","23_55_11",470424,"DSC_0576.JPG",0.009174312,216,218,0.117592593,0.116513761,462,35545,10.5965,3280.04,0.950906,0.278401,0.275778,273,15,45,1.17672,0.640894,"ws","15.63"
"2","23_55_12",470388,"DSC_0539.JPG",0.00462963,215,216,0.118139535,0.117592593,444,32103,10.3601,2657.83,0.668334,0.280334,0.282743,256,9,23,1.10717,0.646562,"ws","13.54"
"3","23_55_13",470120,"DSC_0382.JPG",0.015228426,194,197,0.130927835,0.12893401,239,12949,10.4907,1822.88,1.25561,0.30903,0.302884,101,6,24,1.18472,0.872052,"ws","17.62"
"4","23_55_14",470348,"DSC_0497.JPG",0,214,214,0.118691589,0.118691589,302,26053,10.5627,2996.64,2.49096,0.282298,0.289652,178,19,14,1.20743,0.749549,"ws","12.73"
"5","23_55_15",470422,"DSC_0574.JPG",0,215,215,0.118139535,0.118139535,571,40830,20.1002,5275.59,1.25262,0.280985,0.279483,352,12,21,1.08151,0.710389,"ws","20.33"
"6","23_55_16",469693,"DSC_0107.JPG",0.01025641,193,195,0.131606218,0.13025641,450,27972,10.9545,3290.36,0.976281,0.311409,0.31196,263,9,19,1.24772,0.621337,"ws","15.21"
"7","23_55_2",470362,"DSC_0512.JPG",0.004651163,214,215,0.118691589,0.118139535,288,15923,10.9239,2194.25,0.772755,0.281641,0.304341,130,7,14,1.28907,0.879845,"ws","15.18"
"8","23_55_6",470416,"DSC_0568.JPG",0.00462963,215,216,0.118139535,0.117592593,398,30810,10.016,2468.35,0.412617,0.280334,0.274347,244,14,20,0.575201,0.645267,"ws","13.63"
"9","23_55_8",470342,"DSC_0491.JPG",0.009259259,214,216,0.118691589,0.117592593,375,31534,10.4803,3497.92,1.03492,0.280991,0.294521,217,11,17,1.28388,0.711492,"ws","17.41"
"10","24_55_10",469716,"DSC_0140.JPG",0.029126214,200,206,0.127,0.123300971,362,28768,10.7703,2859.78,1.14135,0.29766,0.291577,330,22,21,1.37581,0.719556,"ws","14.1"
"11","24_55_11",470161,"DSC_0427.JPG",0.015306122,193,196,0.131606218,0.129591837,452,21887,10.4242,2158.03,0.371683,0.310619,0.305855,255,11,23,1.09383,0.631735,"ws","14.27"
"12","24_55_14",470157,"DSC_0422.JPG",0.015306122,193,196,0.131606218,0.129591837,238,13174,9.42414,1559.24,1.8058,0.310619,0.303838,121,20,6,1.02084,0.636561,"ws","13.05"
"13","24_55_15",470312,"DSC_0458.JPG",0.004651163,214,215,0.118691589,0.118139535,396,29621,11.5311,2927.76,1.38645,0.281641,0.282069,226,6,37,1.37456,0.677713,"ws","16.68"
"14","24_55_2",470441,"DSC_0593.JPG",0.004608295,216,217,0.117592593,0.117050691,381,28289,11.3137,2620.61,0.683781,0.279039,0.277339,228,13,12,1.29383,0.484208,"ws","15.34"
"16","24_55_5",470415,"DSC_0567.JPG",0,215,215,0.118139535,0.118139535,303,19638,10.3673,1951.4,0.800647,0.280985,0.279734,159,14,22,1.21027,0.533894,"ws","13.77"
"17","24_55_6",469649,"DSC_0041.JPG",0.005128205,194,195,0.130927835,0.13025641,264,18800,10.4803,2024.59,0.891514,0.310602,0.304886,161,9,23,1.17528,0.662826,"ws","12.95"
"18","24_55_7",470434,"DSC_0586.JPG",0.00462963,215,216,0.118139535,0.117592593,283,15112,10.7703,1428.26,1.50148,0.280334,0.271759,205,9,40,1.1023,0.588699,"ws","12.02"
"19","24_55_9",469644,"DSC_0036.JPG",0.01025641,193,195,0.131606218,0.13025641,209,17439,11.4146,2319.92,0.813237,0.311409,0.321066,164,15,30,1.29315,0.805777,"ws","13.56"
"20","25_55_10",470402,"DSC_0553.JPG",0,214,214,0.118691589,0.118691589,415,26199,9.86947,2627.44,0.507811,0.282298,0.279835,274,21,27,0.913801,0.581964,"ws","20.93"
"21","25_55_11",469685,"DSC_0095.JPG",0.01025641,193,195,0.131606218,0.13025641,311,25335,10.1905,2779.63,0.988971,0.311409,0.304547,241,14,33,1.21953,0.747267,"ws","14.9"
"22","25_55_12",470410,"DSC_0562.JPG",0.00921659,215,217,0.118139535,0.117050691,447,30584,10.7703,2581.51,1.24087,0.27969,0.268927,236,8,26,1.04566,0.592107,"ws","15.44"
"23","25_55_13",470170,"DSC_0441.JPG",0.00462963,215,216,0.118139535,0.117592593,293,22295,10.8714,2178.21,0.884261,0.280334,0.281951,162,13,21,1.16619,0.689426,"ws","16.78"
"24","25_55_15",470320,"DSC_0469.JPG",0.009259259,214,216,0.118691589,0.117592593,292,23267,10.9239,2179.08,1.62177,0.280991,0.28155,193,17,27,1.04376,0.620128,"ws","18.2"
"25","25_55_16",470405,"DSC_0556.JPG",0.009259259,214,216,0.118691589,0.117592593,438,31975,11.6162,3098.97,0.755928,0.280991,0.277935,268,20,24,1.18667,0.647243,"ws","18.67"
"26","25_55_6",469674,"DSC_0078.JPG",0.010309278,192,194,0.132291667,0.130927835,408,31565,11.5545,3874.32,0.557184,0.313022,0.327373,267,15,7,1.43703,0.882311,"ws","20.25"
"27","26_55_11",470000,"DSC_0848.JPG",0.015,197,200,0.12893401,0.127,322,25684,10.7057,2846.29,0.670179,0.304359,0.300665,188,9,22,1.1869,0.72926,"ws","17.82"
"29","26_55_14",470013,"DSC_0835.JPG",0.029268293,199,205,0.127638191,0.123902439,243,15524,10,1676.32,1.22511,0.299134,0.308915,122,11,16,1.02367,0.624424,"ws","13.26"
