"","DIA_STM","AREA","AVG_DENSITY","TD_AVG","RTP_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"1",10.5965,3280.04,0.950906,0.275778,273,1.17672,0.640894,"ws",15.63
"2",10.3601,2657.83,0.668334,0.282743,256,1.10717,0.646562,"ws",13.54
"3",10.4907,1822.88,1.25561,0.302884,101,1.18472,0.872052,"ws",17.62
"4",10.5627,2996.64,2.49096,0.289652,178,1.20743,0.749549,"ws",12.73
"5",20.1002,5275.59,1.25262,0.279483,352,1.08151,0.710389,"ws",20.33
"6",10.9545,3290.36,0.976281,0.31196,263,1.24772,0.621337,"ws",15.21
"7",10.9239,2194.25,0.772755,0.304341,130,1.28907,0.879845,"ws",15.18
"8",10.016,2468.35,0.412617,0.274347,244,0.575201,0.645267,"ws",13.63
"9",10.4803,3497.92,1.03492,0.294521,217,1.28388,0.711492,"ws",17.41
"10",10.7703,2859.78,1.14135,0.291577,330,1.37581,0.719556,"ws",14.1
"11",10.4242,2158.03,0.371683,0.305855,255,1.09383,0.631735,"ws",14.27
"12",9.42414,1559.24,1.8058,0.303838,121,1.02084,0.636561,"ws",13.05
"13",11.5311,2927.76,1.38645,0.282069,226,1.37456,0.677713,"ws",16.68
"14",11.3137,2620.61,0.683781,0.277339,228,1.29383,0.484208,"ws",15.34
"15",10.3673,1951.4,0.800647,0.279734,159,1.21027,0.533894,"ws",13.77
"16",10.4803,2024.59,0.891514,0.304886,161,1.17528,0.662826,"ws",12.95
"17",10.7703,1428.26,1.50148,0.271759,205,1.1023,0.588699,"ws",12.02
"18",11.4146,2319.92,0.813237,0.321066,164,1.29315,0.805777,"ws",13.56
"19",9.86947,2627.44,0.507811,0.279835,274,0.913801,0.581964,"ws",20.93
"20",10.1905,2779.63,0.988971,0.304547,241,1.21953,0.747267,"ws",14.9
"21",10.7703,2581.51,1.24087,0.268927,236,1.04566,0.592107,"ws",15.44
"22",10.8714,2178.21,0.884261,0.281951,162,1.16619,0.689426,"ws",16.78
"23",10.9239,2179.08,1.62177,0.28155,193,1.04376,0.620128,"ws",18.2
"24",11.6162,3098.97,0.755928,0.277935,268,1.18667,0.647243,"ws",18.67
"25",11.5545,3874.32,0.557184,0.327373,267,1.43703,0.882311,"ws",20.25
"26",10.7057,2846.29,0.670179,0.300665,188,1.1869,0.72926,"ws",17.82
"27",10,1676.32,1.22511,0.308915,122,1.02367,0.624424,"ws",13.26
"28",8.92745,1983.56,1.07425,0.295061,102,1.1,0.677304,"ws",12.76
"29",11.1615,3048.89,0.991007,0.3101,159,1.25791,0.617308,"ws",17.23
"30",12.3203,2509.89,1.1195,0.289747,155,1.18478,0.616104,"ws",19.28
"31",10.198,4361.31,1.9697,0.304873,463,1.07092,0.830877,"ws",13.3
"32",11.7368,2697.85,1.11029,0.304307,141,1.39977,0.924882,"ws",75.63
"33",10.583,2493.82,0.762981,0.305906,174,1.10026,0.690239,"ws",16.08
"34",10.5183,2962.24,0.480106,0.299808,128,1.16315,0.764015,"ws",75.79
"35",7.52121,2223.7,0.916933,0.301308,218,0.923396,0.58296,"ws",13.07
"36",10.016,2250.53,1.19116,0.306151,210,1.24418,0.550241,"ws",13.79
"37",10.7317,2243.81,0.537612,0.296642,137,1.35229,0.790361,"ws",18.23
"38",11.4467,2074.93,0.778248,0.311929,189,1.38259,0.707782,"ws",74.37
